Dose,DOS C/mm2,DOSe/cm2,H2,CH4,H2O,CO,C2H6,CO2
0.012502,1.25E-05,7.53E+15,0.12464,0.004429,0.057639,0.021474,0.0035948,0.019823
0.012576,1.26E-05,7.58E+15,0.12464,0.0043518,0.058566,0.021157,0.0034714,0.019386
0.012652,1.27E-05,7.62E+15,0.12563,0.0041061,0.058888,0.021195,0.0033477,0.019283
0.012734,1.27E-05,7.67E+15,0.12615,0.0042421,0.057701,0.021326,0.0032397,0.020155
0.012813,1.28E-05,7.72E+15,0.12537,0.0041275,0.058869,0.020977,0.0033514,0.019313
0.012887,1.29E-05,7.76E+15,0.12534,0.0041878,0.05864,0.021057,0.0031869,0.019564
0.01297,1.30E-05,7.81E+15,0.12557,0.0039384,0.05967,0.021746,0.0031854,0.019252
0.013052,1.31E-05,7.86E+15,0.12353,0.0039935,0.058848,0.020601,0.0034943,0.019719
0.013131,1.31E-05,7.91E+15,0.1239,0.0042141,0.058323,0.021306,0.0033471,0.01971
0.01321,1.32E-05,7.96E+15,0.12268,0.0041287,0.058854,0.020611,0.0032867,0.019997
0.013292,1.33E-05,8.01E+15,0.12475,0.0041413,0.057266,0.021017,0.0031442,0.019227
0.013366,1.34E-05,8.05E+15,0.1235,0.0040405,0.057131,0.020881,0.0031948,0.019701
0.013442,1.34E-05,8.10E+15,0.12382,0.004262,0.057461,0.020316,0.0032091,0.019254
0.013515,1.35E-05,8.14E+15,0.12408,0.0038201,0.058155,0.021218,0.003123,0.018846
0.013588,1.36E-05,8.19E+15,0.12375,0.0039848,0.057495,0.021543,0.0030039,0.018606
0.013661,1.37E-05,8.23E+15,0.12291,0.0039536,0.057766,0.021696,0.0031526,0.018957
0.013735,1.37E-05,8.27E+15,0.12453,0.0038631,0.058803,0.020982,0.0031629,0.018524
0.013811,1.38E-05,8.32E+15,0.12133,0.0039709,0.058211,0.020645,0.0031071,0.019059
0.013893,1.39E-05,8.37E+15,0.12327,0.0040519,0.057454,0.021438,0.0029548,0.018814
0.013972,1.40E-05,8.42E+15,0.1221,0.0040416,0.05667,0.020769,0.003116,0.019156
0.014053,1.41E-05,8.47E+15,0.1226,0.003816,0.0573,0.019582,0.0034493,0.019253
0.014129,1.41E-05,8.51E+15,0.12211,0.0039748,0.057135,0.021202,0.0032009,0.018844
0.014204,1.42E-05,8.56E+15,0.12076,0.0039323,0.057024,0.020137,0.0034139,0.018934
